x, y
0, -119225.03725782414
-0.00009497964721845319, -3219076.005961252
-0.0002849389416553596, -8464977.645305514
-0.0004206241519674356, -11445603.576751117
-0.0006241519674355495, -16572280.178837555
-0.0007327001356852103, -20149031.29657228
-0.0008819538670284939, -23964232.48882265
-0.00101763907734057, -26348733.233979136
-0.001085481682496608, -27302533.53204173
-0.0012890094979647218, -27540983.606557377
-0.0013839891451831751, -27540983.606557377
-0.0014789687924016282, -28852459.01639344
-0.0015603799185888738, -30283159.46348733
-0.0016689280868385347, -31833084.947839044
-0.0017639077340569878, -32906110.28315946
-0.0018860244233378563, -33144560.35767511